CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"5,419",-221,"16,166",41.17,558.00,11.80,750,558.00,560.00,50,"16,500.00",900,4.15,4.55,600,-11.35,4.40,23.45,"12,84,229","7,812","1,20,622",
,249,60,560,36.94,503.45,6.25,450,487.20,515.30,300,"16,550.00",100,5.55,6.35,"4,700",-14.40,5.55,22.54,"4,49,089",926,"15,834",
,863,58,"7,489",37.17,462.80,10.80,50,456.85,464.60,100,"16,600.00",300,7.50,8.20,700,-18.00,7.50,21.93,"10,55,710","13,044","58,774",
,208,38,"1,929",34.35,413.00,2.00,100,408.70,441.40,300,"16,650.00",100,10.90,11.15,400,-21.45,10.65,21.57,"4,61,611","11,546","21,344",
,"1,457",12,"23,109",33.49,370.60,2.85,150,365.05,372.00,50,"16,700.00",50,15.60,15.80,50,-24.75,16.00,21.64,"12,73,282","4,048","59,217",
,453,15,"6,029",30.83,322.30,-7.00,100,322.30,328.65,50,"16,750.00","1,200",21.00,22.40,400,-28.25,22.30,21.37,"7,39,070","4,203","18,963",
,"5,271",485,"1,13,839",30.41,284.00,-5.50,350,282.00,284.00,550,"16,800.00","1,250",29.00,30.00,300,-33.55,29.00,20.65,"20,39,021","-2,522","78,347",
,"1,020",341,"54,344",28.28,240.00,-13.80,"1,000",239.35,247.15,50,"16,850.00",50,40.00,41.00,350,-35.85,41.00,20.75,"7,54,955","4,397","23,430",
,"8,713","2,692","3,81,393",27.76,205.00,-15.50,"1,200",205.00,208.00,600,"16,900.00",250,52.50,53.95,50,-40.60,52.50,20.02,"23,31,899","14,751","69,888",
,"4,458",897,"2,78,594",27.16,172.05,-17.00,50,169.10,172.05,100,"16,950.00",100,67.05,68.75,150,-43.65,68.75,19.66,"10,87,171","5,261","17,864",
,"76,299","17,975","21,52,456",26.71,142.60,-17.75,100,139.15,142.60,400,"17,000.00","1,900",87.00,89.00,"1,700",-46.45,87.00,18.95,"38,92,750","-13,303","1,08,525",
,"23,081","9,396","10,99,521",25.77,113.60,-21.65,"1,350",113.00,114.00,500,"17,050.00",550,108.65,112.00,"1,750",-45.20,112.00,18.79,"12,30,118","2,176","18,688",
